2024-09-10 16:35:27.266 [main] INFO  u.t.t.TaskmanagementsystemApplication - Starting TaskmanagementsystemApplication using Java 17.0.11 with PID 7772 (C:\Users\user\Desktop\SAMPLE_PROJECT\task-management-system\taskmanagementsystem\target\classes started by user in C:\Users\user\Desktop\SAMPLE_PROJECT\task-management-system\taskmanagementsystem)
2024-09-10 16:35:27.269 [main] INFO  u.t.t.TaskmanagementsystemApplication - The following 1 profile is active: "development"
2024-09-10 16:35:27.938 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-10 16:35:27.994 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 48 ms. Found 1 JPA repository interface.
2024-09-10 16:35:28.454 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http)
2024-09-10 16:35:28.465 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2024-09-10 16:35:28.469 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-10 16:35:28.469 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-10 16:35:28.518 [main] INFO  o.a.c.c.C.[.[.[/taskmanagement] - Initializing Spring embedded WebApplicationContext
2024-09-10 16:35:28.518 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1200 ms
2024-09-10 16:35:28.544 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-09-10 16:35:28.699 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-09-10 16:35:28.700 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-09-10 16:35:28.711 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-09-10 16:35:28.851 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-10 16:35:28.887 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-09-10 16:35:28.913 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
